model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=1,
                    random_state=42)",0.2795238095238095,0.2644444444444444,0.28047619047619043,0.016193977212506625,0.015079365079365081,"{'n_estimators': 1, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,3,2,1,1
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=31,
                    random_state=42)",0.37142857142857144,0.35944444444444446,0.32285714285714284,0.02214925662772901,0.011984126984126986,"{'n_estimators': 31, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,93,62,1,31
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=61,
                    random_state=42)",0.39380952380952383,0.3638888888888889,0.3276190476190476,0.014800257398019094,0.02992063492063496,"{'n_estimators': 61, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,183,122,1,61
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=91,
                    random_state=42)",0.3954761904761905,0.3661111111111111,0.33690476190476193,0.003011693009684182,0.029365079365079372,"{'n_estimators': 91, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,273,182,1,91
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=121,
                    random_state=42)",0.4042857142857143,0.37444444444444447,0.33738095238095245,0.004677829215330604,0.029841269841269835,"{'n_estimators': 121, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,363,242,1,121
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=151,
                    random_state=42)",0.4064285714285714,0.375,0.3397619047619048,0.006925256939166182,0.03142857142857142,"{'n_estimators': 151, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,453,302,1,151
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=181,
                    random_state=42)",0.4095238095238095,0.3672222222222222,0.3347619047619047,0.007982406959162016,0.042301587301587285,"{'n_estimators': 181, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,543,362,1,181
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=211,
                    random_state=42)",0.41095238095238096,0.3672222222222222,0.3333333333333333,0.008451542547285177,0.04373015873015873,"{'n_estimators': 211, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,633,422,1,211
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=241,
                    random_state=42)",0.40714285714285714,0.37333333333333335,0.3366666666666667,0.0076190476190476164,0.03380952380952379,"{'n_estimators': 241, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,723,482,1,241
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=271,
                    random_state=42)",0.4107142857142857,0.37222222222222223,0.33761904761904765,0.007006637604553412,0.038492063492063466,"{'n_estimators': 271, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,813,542,1,271
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=301,
                    random_state=42)",0.41404761904761905,0.3838888888888889,0.33857142857142863,0.009361715833970231,0.030158730158730163,"{'n_estimators': 301, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,903,602,1,301
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=331,
                    random_state=42)",0.4164285714285714,0.3827777777777778,0.33761904761904765,0.006759556936465902,0.03365079365079365,"{'n_estimators': 331, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,993,662,1,331
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=1,
                    random_state=42)",0.33404761904761904,0.31222222222222223,0.3002380952380953,0.016690459207925612,0.021825396825396803,"{'n_estimators': 1, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",15.0,3.0,8.0,15,8,3,1
