model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=1,
                    random_state=42)",0.4228571428571429,0.3933333333333333,0.42000000000000004,0.03561414532090831,0.029523809523809563,"{'n_estimators': 1, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,3,2,1,1
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=11,
                    random_state=42)",0.49714285714285716,0.44666666666666666,0.4557142857142857,0.023430313524081047,0.05047619047619051,"{'n_estimators': 11, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,33,22,1,11
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=21,
                    random_state=42)",0.5657142857142857,0.515,0.47071428571428575,0.02887340418772535,0.05071428571428571,"{'n_estimators': 21, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,63,42,1,21
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=31,
                    random_state=42)",0.5764285714285714,0.5233333333333333,0.48142857142857143,0.03124948979175337,0.053095238095238084,"{'n_estimators': 31, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,93,62,1,31
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=41,
                    random_state=42)",0.5842857142857143,0.5383333333333333,0.495,0.02716164763118792,0.04595238095238097,"{'n_estimators': 41, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,123,82,1,41
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=51,
                    random_state=42)",0.5907142857142857,0.5333333333333333,0.5085714285714286,0.027534764667709124,0.05738095238095242,"{'n_estimators': 51, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,153,102,1,51
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=61,
                    random_state=42)",0.5814285714285714,0.5333333333333333,0.495,0.020025493955537436,0.04809523809523808,"{'n_estimators': 61, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,183,122,1,61
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=71,
                    random_state=42)",0.585,0.5333333333333333,0.5014285714285714,0.02480536479169334,0.05166666666666664,"{'n_estimators': 71, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,213,142,1,71
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=81,
                    random_state=42)",0.5757142857142857,0.525,0.505,0.016842608746502268,0.05071428571428571,"{'n_estimators': 81, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,243,162,1,81
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=91,
                    random_state=42)",0.5814285714285714,0.5433333333333333,0.5092857142857142,0.019509286119639507,0.03809523809523807,"{'n_estimators': 91, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,273,182,1,91
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=1,
                    random_state=42)",0.48714285714285716,0.45166666666666666,0.43428571428571433,0.06113718264723045,0.035476190476190494,"{'n_estimators': 1, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",15.0,3.0,8.0,15,8,3,1
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=11,
                    random_state=42)",0.6307142857142857,0.5666666666666667,0.5442857142857143,0.026399598017966174,0.06404761904761902,"{'n_estimators': 11, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.818181818181818,3.0,7.909090909090909,163,87,3,11
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=21,
                    random_state=42)",0.6671428571428571,0.5933333333333334,0.5650000000000001,0.026859422395661664,0.07380952380952377,"{'n_estimators': 21, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.904761904761905,3.0,7.9523809523809526,313,167,3,21
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=31,
                    random_state=42)",0.665,0.59,0.5735714285714286,0.02521337513531829,0.07500000000000007,"{'n_estimators': 31, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.870967741935484,3.0,7.935483870967742,461,246,3,31
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=41,
                    random_state=42)",0.67,0.5933333333333334,0.5814285714285715,0.012037356818823364,0.07666666666666666,"{'n_estimators': 41, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.902439024390244,3.0,7.951219512195122,611,326,3,41
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=51,
                    random_state=42)",0.67,0.5933333333333334,0.5892857142857143,0.009313146293146609,0.07666666666666666,"{'n_estimators': 51, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.882352941176471,3.0,7.9411764705882355,759,405,3,51
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=61,
                    random_state=42)",0.6714285714285714,0.585,0.5871428571428572,0.007693092581620728,0.08642857142857141,"{'n_estimators': 61, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.868852459016393,3.0,7.934426229508197,907,484,3,61
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=71,
                    random_state=42)",0.6771428571428572,0.5933333333333334,0.5885714285714286,0.006925256939166159,0.08380952380952378,"{'n_estimators': 71, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.830985915492958,3.0,7.915492957746479,1053,562,3,71
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=81,
                    random_state=42)",0.6914285714285714,0.5866666666666667,0.5850000000000001,0.010202040612204071,0.10476190476190472,"{'n_estimators': 81, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.851851851851851,3.0,7.925925925925926,1203,642,3,81
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=91,
                    random_state=42)",0.6857142857142857,0.5933333333333334,0.5842857142857143,0.010497813183356467,0.09238095238095234,"{'n_estimators': 91, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.868131868131869,3.0,7.934065934065934,1353,722,3,91
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=1,
                    random_state=42)",0.54,0.475,0.4614285714285714,0.02887340418772532,0.06500000000000006,"{'n_estimators': 1, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",49.0,5.0,25.0,49,25,5,1
