model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=1,
                    random_state=42)",0.7057142857142857,0.7533333333333333,0.5,0.05190257749881413,-0.04761904761904756,"{'n_estimators': 1, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,3,2,1,1
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=4,
                    random_state=42)",0.7228571428571429,0.76,0.6942857142857143,0.02649605284427342,-0.037142857142857144,"{'n_estimators': 4, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,12,8,1,4
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=7,
                    random_state=42)",0.7371428571428571,0.7466666666666667,0.7457142857142857,0.07845445838711991,-0.009523809523809601,"{'n_estimators': 7, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,21,14,1,7
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=10,
                    random_state=42)",0.8228571428571428,0.8466666666666667,0.7542857142857142,0.07526822784182567,-0.023809523809523836,"{'n_estimators': 10, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,30,20,1,10
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=13,
                    random_state=42)",0.7742857142857142,0.7333333333333333,0.7742857142857142,0.06963461489687968,0.04095238095238096,"{'n_estimators': 13, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,39,26,1,13
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=16,
                    random_state=42)",0.7742857142857142,0.7333333333333333,0.8028571428571428,0.05525451315946777,0.04095238095238096,"{'n_estimators': 16, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,48,32,1,16
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=19,
                    random_state=42)",0.82,0.7933333333333333,0.8342857142857143,0.023211538298959854,0.026666666666666616,"{'n_estimators': 19, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,57,38,1,19
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=22,
                    random_state=42)",0.8628571428571429,0.82,0.8485714285714285,0.04100771455544948,0.04285714285714293,"{'n_estimators': 22, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,66,44,1,22
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=25,
                    random_state=42)",0.8657142857142858,0.8266666666666667,0.8657142857142857,0.0379042833183474,0.03904761904761911,"{'n_estimators': 25, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,75,50,1,25
"RandomForestOverfit(max_depth=1, max_features=2, n_estimators=28,
                    random_state=42)",0.8628571428571429,0.8266666666666667,0.8771428571428572,0.038966233419959605,0.03619047619047622,"{'n_estimators': 28, 'max_depth': 1, 'max_features': 2, 'bootstrap': True}",3.0,1.0,2.0,84,56,1,28
